"ID"	Smiles	Standard_Type	Standard_Relation	Standard_Units	Standard_Value	pIC50	RemovedSalts[1]	RemovedSalts[2]	RemovedSalts[3]	RemovedSalts[4]
CHEMBL4295165	CCN1CCN(CCCNC(=O)COc2ccc(-c3ccccc3)cc2)CC1	IC50	=	nM	59200	4.227678293				
CHEMBL136933	C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](NC(=O)c5ccccc5)CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C	IC50	=	nM	58200	4.235077015				
CHEMBL1788297	C#CCN(C)[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21.Cl	IC50	=	nM	58190	4.235151643	HCl			
CHEMBL3335028	COc1cccc(CC2CCN(CCOc3ccc4c5c(c(=O)oc4c3)CCCC5)CC2)c1	IC50	=	nM	58000	4.236572006				
CHEMBL1834075	CC(=O)N1CCN(c2nccc(NC(c3ccccc3)c3ccccc3)n2)CC1	IC50	=	nM	58000	4.236572006				
CHEMBL1668333	CC(C)=CC(=O)C[C@H](C)c1ccc(C)cc1	IC50	=	nM	58000	4.236572006				
CHEMBL3311040	COc1ccc(-c2coc3c4c(ccc3c2=O)OC(C)(C)C=C4)cc1OC	IC50	=	nM	57900	4.237321436				
CHEMBL542981	C#CCNC1CCc2cccc(OC(=O)N(C)CCC)c21.Cl	IC50	=	nM	57000	4.244125144	HCl			
CHEMBL2093014	C#CCN[C@H]1CCc2ccc(OC(=O)N(C)CC)cc21.Cl	IC50	=	nM	57000	4.244125144	HCl			
CHEMBL1082741	Nc1cc(-c2ccccc2)nnc1NCCN1CCOCC1	IC50	=	nM	56493.7	4.247999981				
CHEMBL1085274	CCN1CCCC1CNc1ccc(-c2ccccc2)nn1	IC50	=	nM	56000	4.251811973				
CHEMBL1084543	c1ccc(-c2cnc(NCN3CCCCC3)nc2)cc1	IC50	=	nM	56000	4.251811973				
CHEMBL1084786	c1ccc(-c2ncc(NCN3CCCCC3)nn2)cc1	IC50	=	nM	55500	4.255707017				
CHEMBL102226	CCCCCCCSC(=O)OCC[N+](C)(C)C.[Cl-]	IC50	=	nM	55410	4.25641185	Cl-			
CHEMBL357492	CCN(C)C(=O)Oc1ccc2c(c1)CC(N)CC2	IC50	=	nM	55340	4.256960845				
CHEMBL371006	COc1cc2ccnc3c2c(c1OC)COC3(CC(O)CO)OC	IC50	=	nM	55200	4.258060922				
CHEMBL3237632	CC[C@@H]1[C@H]2OC(=O)[C@@](C)(O)[C@H]2[C@]23CC[C@@H]([C@@H]4C[C@H](C)C(=O)O4)N2CCCC[C@H]13	IC50	=	nM	55180	4.258218304				
CHEMBL1301463	CN(C)CCN=C(S)Nc1cccc(Cl)c1	IC50	=	nM	55000	4.259637311				
CHEMBL3605314	CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(-c3nnc(-c4ccc(O)cc4)[nH]3)ccc21	IC50	=	nM	55000	4.259637311				
CHEMBL504674	COc1ccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)cc1OC	IC50	=	nM	54300	4.26520017				
CHEMBL340599	O=C1CCN(Cc2ccccc2)C/C1=C\c1cn(C(=O)c2ccc(Cl)cc2)c2ccccc12	IC50	=	nM	54000	4.26760624				
CHEMBL4071110	Cc1cc(-c2c3ccccc3[n+](C)c3ccccc23)cc(C)c1C.F[B-](F)(F)F	IC50	=	nM	54000	4.26760624	F[B-](F)(F)F			
CHEMBL294745	Nc1ccc2c(N)c3c(nc2c1)-c1ccccc1C3	IC50	=	nM	54000	4.26760624				
CHEMBL2011488	CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2.Cl	IC50	=	nM	54000	4.26760624	HCl			
CHEMBL3339008	CCCCN(CCCC)CCCCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1	IC50	=	nM	54000	4.26760624				
CHEMBL3338995	CCN(CC)CCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1	IC50	=	nM	54000	4.26760624				
CHEMBL3338998	CCN(CC)CCCCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1	IC50	=	nM	53703.18	4.269999997				
CHEMBL3338999	CCCN(CCC)CCOc1ccc(C(=O)/C=C/c2ccccc2)cc1	IC50	=	nM	53100	4.274905479				
CHEMBL19557	CCN(CC)CCS/C(=N\O)c1nc(C)no1	IC50	=	nM	53000	4.27572413				
CHEMBL4125708	C=C(C)[C@H](O)CC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)[C@]1(C(=O)C(C)C)C(=O)C1=C2O[C@H](C(C)(C)O)C1	IC50	=	nM	53000	4.27572413				
CHEMBL2332975	O=C1/C(=C/c2ccccc2F)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1ccccc1F	IC50	=	nM	52780	4.277530614				
CHEMBL152675	C=CC(=O)N1C/C(=C\c2ccc(Cl)cc2)C(=O)/C(=C/c2ccc(Cl)cc2)C1	IC50	=	nM	52700	4.278189385				
CHEMBL4164310	Nc1c2c(nc3c1C(c1cccc([N+](=O)[O-])c1)NC(=S)N3)CCCC2	IC50	=	nM	52400	4.280668713				
CHEMBL119634	COc1ccc2c(c1)CCCc1c-2nc2ccccc2c1N	IC50	=	nM	52400	4.280668713				
CHEMBL115580	CC1Cc2c(nc3ccccc3c2N)C1(C)O	IC50	=	nM	52400	4.280668713				
CHEMBL1083058	c1ccc(CN2CCC(Nc3ccc(-c4ccccc4)nn3)CC2)cc1	IC50	=	nM	52000	4.283996656				
CHEMBL4100639	COc1cc2c(cc1OC)C(c1ccccc1)N(Cc1ccc(O)c(/C=N/O)c1)CC2	IC50	=	nM	51286.14	4.289999986				
CHEMBL4061404	COc1cc2c(cc1OC)CN(CC1CCN(Cc3ccc(O)c(/C=N/O)c3)CC1)CC2	IC50	=	nM	51000	4.292429824				
CHEMBL4078463	CCN(CC)CCCOc1ccc(/C=C/C(=O)Nc2ccccc2)cc1OC	IC50	=	nM	51000	4.292429824				
CHEMBL4064806	COc1ccccc1NC(=S)NCCN(C)C	IC50	=	nM	51000	4.292429824				
CHEMBL110045	COc1ccccc1CN1CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(Cc2ccccc2OC)Cc2ccc(cc2)-c2ccc(cc2)C1	IC50	=	nM	51000	4.292429824				
CHEMBL150164	C#CCCCC[n+]1ccc(/C=N/O)cc1.[Cl-]	IC50	=	nM	50980	4.292600169	Cl-			
CHEMBL1085281	COC(=O)Nc1ccc2n(c1)cc(-c1ccccc1)[n+]2C.[Cl-]	IC50	=	nM	50800	4.294136288	Cl-			
CHEMBL28	O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	Ki	=	nM	50440	4.297224922				
CHEMBL150212	C#CCCOC[n+]1ccc(/C=N/O)cc1.[Cl-]	IC50	=	nM	50120	4.299988938	Cl-			
CHEMBL9352	O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21	IC50	=	nM	50118.72	4.300000029				
CHEMBL427090	CN(CCCCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1	IC50	=	nM	50118.72	4.300000029				
CHEMBL136568	CCSCC[N+](C)(C)C	IC50	=	nM	50000	4.301029996				
CHEMBL343673	C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCC)c1	IC50	=	nM	50000	4.301029996				
CHEMBL2425407	O=C(NNC=C1C(=O)NC(=S)NC1=O)Nc1ccccc1	IC50	=	nM	50000	4.301029996				
CHEMBL4101703	COc1cc(/C=C/C(=O)Nc2ccccc2)ccc1OCCN1CCCC1	IC50	=	nM	50000	4.301029996				
CHEMBL3339002	CCCN(CCC)CCCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1	IC50	=	nM	50000	4.301029996				
CHEMBL591470	COP(=O)(OC)O/C(C)=C1\CCOC1=O	IC50	=	nM	50000	4.301029996				
CHEMBL3786505	CN1Cc2cc(O)ccc2N(C)C1c1cccc(Cl)c1	IC50	=	nM	50000	4.301029996				
CHEMBL4075021	COc1cc(/C=C/C(=O)O)ccc1OCCCCCCN1CCCCC1	IC50	=	nM	50000	4.301029996				
CHEMBL4594199	CCN1CCN(c2ccc(C3CC(c4ccc(OC)c(OC)c4)=NN3C(C)=O)cc2)CC1	IC50	=	nM	50000	4.301029996				
CHEMBL4162224	O=C1SCc2ccccc21	Ki	=	nM	50000	4.301029996				
CHEMBL4163781	O=C(NCCCCCCNCc1ccc2ccccc2c1)c1cc(Cl)nc(Cl)c1	IC50	=	nM	50000	4.301029996				
CHEMBL1086927	COC(=O)C(C)CC(=O)C[C@@H](C)[C@H]1C[C@H](O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O	IC50	=	nM	50000	4.301029996				
CHEMBL1087180	CC(CC(=O)C[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O	IC50	=	nM	49800	4.302770657				
CHEMBL1098479	C[C@H](CC[C@@H](O)C(C)(C)O)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C	IC50	=	nM	49730	4.303381541				
CHEMBL1915763	C[C@H](CC[C@H](O)[C@](C)(O)CO)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C	IC50	=	nM	49600	4.304518324				
CHEMBL4063984	COc1ccc(CN(CC(=O)NCc2ccccc2)C(=O)CCCCCn2ccnc2/C=N/O)cc1	Kd	=	nM	49400	4.306273051				
CHEMBL1082748	Cc1cccc2n1cc(-c1cccc(OC(=O)N(C)C)c1)[n+]2C.[Cl-]	IC50	=	nM	49400	4.306273051	Cl-			
CHEMBL543546	CC(C)N(CCS/C(=N\O)C(=O)c1ccc(Cl)cc1)C(C)C.Cl	IC50	=	nM	49000	4.30980392	HCl			
CHEMBL4160694	O=C(O)C(F)(F)F.O=C1C2=C(C3=NCCc4c[nH]c1c43)C1(C=CN2)C=C(Br)C(O)C(Br)=C1	Ki	=	nM	48977.88	4.310000017	OC(=O)C(F)(F)F			
CHEMBL1088019	[Br-].[Br-].c1cc[n+](CCCCC[n+]2ccccc2)cc1	IC50	=	nM	48977.88	4.310000017	Br-	Br-		
CHEMBL1276594	O=P(NN1CCOCC1)(NN1CCOCC1)Oc1ccccc1	Km	=	nM	48660	4.312827895				
CHEMBL411	CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1	IC50	=	nM	48380	4.315334136				
CHEMBL1952066	CCCCN1CC(C)(C)CN=C1/C=N/O.Cl	IC50	=	nM	48300	4.316052869	HCl			
CHEMBL254302	C[N+](C)(C)CCOC(=O)Nc1cc(Cl)nc(Cl)c1.[I-]	Ki	=	nM	48300	4.316052869	I-			
CHEMBL24416	COc1ccc(-c2cc3c(c(=O)o2)C(=O)C2[C@@]4(C)CC[C@H](O)[C@@](C)(CO)C4C[C@H](O)[C@@]2(C)O3)cc1	IC50	=	nM	48200	4.316952962				
CHEMBL242906	COc1cc2cc(-c3ccc(CN(C)Cc4ccc([N+](=O)[O-])cc4)cc3)c(=O)oc2cc1OC	IC50	=	nM	48000	4.318758763				
CHEMBL511575	CN(CCCCCCCOc1ccc(-c2oc3ccccc3c2C(=O)c2ccccc2)cc1)Cc1ccccc1	IC50	=	nM	48000	4.318758763				
CHEMBL3339003	CCCN(CCC)CCCCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1	IC50	=	nM	48000	4.318758763				
CHEMBL150156	C#CCCCC[n+]1cn(C)c(/C=N/O)n1.[Cl-]	IC50	=	nM	47900	4.319664487	Cl-			
CHEMBL4099486	COCCN(CC(=O)NC(C)C)C(=O)CCCCCn1ccnc1/C=N/O	Kd	=	nM	47900	4.319664487				
CHEMBL2160220	CN(CCCCCCCOc1ccc(-c2oc3ccccc3c2C(=O)c2c3ccccc3cc3ccccc23)cc1)Cc1ccccc1	IC50	=	nM	47600	4.322393047				
CHEMBL2160228	Cc1cccc(C(=O)c2c(-c3cccc(OCCCCCCCN(C)Cc4ccccc4)c3)oc3ccccc23)c1	IC50	=	nM	47200	4.326058001				
CHEMBL1952059	Cl.O/N=C/C1=NCCN1Cc1ccc(Cl)cc1Cl	IC50	=	nM	47000	4.327902142	HCl			
CHEMBL1651045	C[C@@H]1[C@@H]2CC[C@@H]3C(=CC[C@]4(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]34C)C=C2CC[C@@H]1N(C)C	IC50	=	nM	47000	4.327902142				
CHEMBL225688	[Br-].[Br-].c1cc[n+](CCCCCCCC[n+]2ccccc2)cc1	IC50	=	nM	47000	4.327902142	Br-	Br-		
CHEMBL1084952	Nc1c2c(nc3ccccc13)-c1cc(Br)ccc1CC2	IC50	=	nM	47000	4.327902142				
CHEMBL1642974	CC(C)(C)c1cc[n+](CCCCC[n+]2ccc(C(C)(C)C)cc2)cc1.[Br-].[Br-]	IC50	=	nM	47000	4.327902142	Br-	Br-		
CHEMBL31184	c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34	IC50	=	nM	47000	4.327902142				
CHEMBL371798	CN(CCCCCCCOc1ccc2c(c1)O/C(=C\c1cccc3ccccc13)C2=O)Cc1cccc(O)c1	IC50	=	nM	46760	4.330125498				
CHEMBL147517	C#CC(C)(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-]	IC50	=	nM	46000	4.337242168	Cl-			
CHEMBL3087679	C[C@@H](C(=O)NCCCNCCCNC1=CC(=O)C(NCCCNCCCNC(=O)[C@H](C)c2ccc(-c3ccccc3)c(F)c2)=CC1=O)c1ccc(-c2ccccc2)c(F)c1	IC50	=	nM	46000	4.337242168				
CHEMBL4638958	CC(C)=CC[C@H]1C[C@]2(CC=C(C)C)C(=O)[C@]3(CC=C(C)C)O[C@@]1(C(=O)C(C)C)[C@@]2(O)C(C)(C)C3=O	IC50	=	nM	46000	4.337242168				
CHEMBL1952067	CCCCCN1CC(C)(C)CN=C1/C=N/O.Cl	IC50	=	nM	46000	4.337242168	HCl			
CHEMBL1922540	C#CCOP(C)(=O)OC(C(F)(F)F)C(F)(F)F	IC50	=	nM	46000	4.337242168				
CHEMBL375126	O=C1C(=O)N(Cc2ccc(Cl)c(Cl)c2)c2ccccc21	Ki	=	nM	45800	4.339134522				
CHEMBL609719	C[N+]1(C)CCO[C@@](O)(c2ccc([N+](=O)[O-])cc2)C1.[Cl-]	IC50	=	nM	45550	4.341511619	Cl-			
CHEMBL2234524	COc1ccc([C@H]2C3=C(CC(C)(C)CC3=O)Oc3nc4c(c(N)c32)CCCC4)cc1	IC50	=	nM	45500	4.341988603				
CHEMBL1076550	C(=C\C[n+]1ccccc1)\C[n+]1ccccc1.[Cl-].[Cl-]	IC50	=	nM	45310	4.343805938	Cl-	Cl-		
CHEMBL1344483	COc1ccc(C(C#N)N2CCCCC2)cc1OC	IC50	=	nM	45290	4.343997679				
CHEMBL3233991	COc1ccc(C(C#N)N2CCOCC2)cc1OC	IC50	=	nM	45000	4.346787486				
CHEMBL1191355	N#CC(c1ccc2c(c1)OCO2)N1CCOCC1	IC50	=	nM	45000	4.346787486				
CHEMBL3233998	COc1ccc(C(C#N)N2CCOCC2)cc1O	IC50	=	nM	45000	4.346787486				
CHEMBL3233999	COc1ccc(C(C#N)N2CCN(C)CC2)cc1O	IC50	=	nM	45000	4.346787486				
CHEMBL400092	O[C@H]1[C@H]2c3cc4c(cc3CN3CCC(=C[C@@H]1O)[C@H]23)OCO4	IC50	=	nM	44900	4.347753659				
CHEMBL1081448	[Cl-].[Cl-].c1cc[n+](COC[n+]2ccccc2)cc1	IC50	=	nM	44560	4.351054818	Cl-	Cl-		
CHEMBL4849640	COc1ccc2[nH]c3c(c2c1)CN(Cc1ccccc1)CC3	IC50	=	nM	44050	4.356054087				
CHEMBL2380677	O=C1/C(=C/c2ccc(F)cc2)CN(C(=O)[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2cc(Cl)ccc23)C/C1=C\c1ccc(F)cc1	IC50	=	nM	44000	4.356547324				
CHEMBL137226	CC(=O)Nc1cccc([N+](C)(C)C)c1	IC50	=	nM	44000	4.356547324				
CHEMBL136148	COc1cccc([N+](C)(C)C)c1	IC50	=	nM	44000	4.356547324				
CHEMBL1834079	COCCN1CCN(c2nccc(NC(c3ccccc3)c3ccccc3)n2)CC1	IC50	=	nM	43900	4.35753548				
CHEMBL448060	CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12	IC50	=	nM	43900	4.35753548				
CHEMBL281202	Cc1ccc(C(C)C)cc1O	IC50	=	nM	43900	4.35753548				
CHEMBL1761997	[Br-].[Br-].c1ccc2c(c1)ccc[n+]2CCOCC[n+]1cccc2ccccc21	IC50	=	nM	43500	4.361510743	Br-	Br-		
CHEMBL402976	CN(C)CCOC(=O)Nc1ccncc1	Ki	=	nM	43000	4.366531544				
CHEMBL537454	CN(C)CCOC(=O)Nc1cc(Cl)nc(Cl)c1.Cl	Ki	=	nM	43000	4.366531544	HCl			
CHEMBL340854	O=C1CCN(Cc2ccccc2)C/C1=C\c1c[nH]c2ccc(OCc3ccccc3)cc12	IC50	=	nM	42800	4.368556231				
CHEMBL1766145	FC(F)(F)c1ccc(CN2CCN(c3nccc(NCc4ccccc4)n3)CC2)cc1	IC50	=	nM	42657.95	4.370000019				
CHEMBL1766143	Brc1ccc(CN2CCN(c3nccc(NCc4ccccc4)n3)CC2)cc1	IC50	=	nM	42500	4.37161107				
CHEMBL1766019	CC(C)N1CCN(c2nccc(NCc3ccccc3)n2)CC1	IC50	=	nM	42000	4.37675071				
CHEMBL4288000	CN1CCN(CCCNC(=O)COc2ccc(-c3ccccc3)cc2)CC1	IC50	=	nM	42000	4.37675071				
CHEMBL3828381	NC(=O)c1cc[n+](CCC[n+]2cccc(NC(=O)/C=N\O)c2)cc1.[Br-].[Br-]	Kd	=	nM	42000	4.37675071	Br-	Br-		
CHEMBL89011	Nc1c2c(nc3ccccc13)-c1ccccc1CO2	IC50	=	nM	41630	4.380593589				
CHEMBL3597946	CCOC(=O)Cc1csc(NC(=O)C[n+]2ccc(/C=N/O)cc2)n1.[Cl-]	IC50	=	nM	41500	4.381951903	Cl-			
CHEMBL150	O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	Ki	=	nM	41370	4.383314479				
CHEMBL3605422	CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(-c3nnc(-c4cccc(Cl)c4)[nH]3)ccc21	IC50	=	nM	41270	4.384365531				
CHEMBL340542	COc1ccc(C(=O)n2cc(/C=C3\CN(Cc4ccccc4)CCC3=O)c3ccccc32)cc1	IC50	=	nM	41220	4.384892013				
CHEMBL12540	c1ccc2c(c1)[nH]c1ccncc12	IC50	=	nM	41200	4.385102784				
CHEMBL17940	CC(=O)/C=N/O	Kd	=	nM	41160	4.385524634				
CHEMBL1824737	NC(=O)c1cc[n+](Cc2ccccc2C[n+]2ccc(/C=N/O)cc2)cc1.[Br-].[Br-]	Kd	=	nM	41130	4.38584129	Br-	Br-		
CHEMBL4746460	CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCC1CCN(Cc2ccc(Cl)c(Cl)c2)CC1	IC50	=	nM	41130	4.38584129				
CHEMBL4745075	COc1cc(/C=C/C(=O)N2CCc3ccccc3C2)ccc1OC(=O)N(c1ccccc1)c1ccccc1	IC50	=	nM	41060	4.386581055				
CHEMBL4753561	Cc1cc(/C=N/O)c(O)c(CNc2ccc(S(=O)(=O)Nc3nccs3)cc2)c1	IC50	=	nM	40900	4.388276692				
CHEMBL4751296	O/N=C/c1cc(Cl)cc(CNc2ccc(-n3cccn3)cc2)c1O	IC50	=	nM	40900	4.388276692				
CHEMBL4763394	O/N=C/c1cc(Cl)cc(CNc2ccc(N3CCOCC3)c(F)c2)c1O	IC50	=	nM	40831.94	4.388999985				
CHEMBL4781384	O=c1ccoc2ccc(OCCCCCN3CCOCC3)cc12	IC50	=	nM	40780	4.389552779				
CHEMBL1651046	C[C@@H]([C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC[C@@H]4C(=CC3=CC[C@]12C)CC[C@H](N(C)C)C4(C)C)N(C)C	IC50	=	nM	40738.03	4.389999976				
CHEMBL3319256	Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21	IC50	=	nM	40700	4.390405591				
CHEMBL4088594	Cc1cc(-c2c3ccccc3[n+](C)c3ccccc23)cc(C)c1O.F[B-](F)(F)F	IC50	=	nM	40460	4.392974122	F[B-](F)(F)F			
CHEMBL4076907	COc1cc2c(cc1OC)C(c1ccccc1)N(Cc1cc(F)cc(/C=N/O)c1O)CC2	IC50	=	nM	40000	4.397940009				
CHEMBL3827347	Cc1c(OC(=O)N(C)C)c2c(c[n+]1C)COC(C(C)C)OC2.[Br-]	IC50	=	nM	40000	4.397940009	Br-			
CHEMBL3827950	O=C(NCCCCCc1ccccc1)Oc1ccc(-n2cc(COc3ccc4ccc(=O)oc4c3)nn2)cc1	IC50	=	nM	40000	4.397940009				
CHEMBL586091	COc1cc2c(cc1O)[C@@H]1[C@H](O)[C@@H](O)C=C3CCN(C2)[C@H]31	IC50	=	nM	40000	4.397940009				
CHEMBL4093928	CCO[P@@](=O)(SCC)c1ccccc1	IC50	=	nM	40000	4.397940009				
CHEMBL2160223	CCN(CC)CCOc1cccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)c1	IC50	=	nM	40000	4.397940009				
CHEMBL2160224	CCN(CC)CCOc1ccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)cc1	IC50	=	nM	40000	4.397940009				
CHEMBL14638	O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1	IC50	=	nM	40000	4.397940009				
CHEMBL4085482	CCOc1ccc(Cc2nc3cc(C(=O)N(CC)CC)ccc3n2CCCCN2CCCCC2)cc1	IC50	=	nM	39900	4.399027104				
CHEMBL342903	C[C@@]1(O)C[N+](C)(C)CCO1	IC50	=	nM	39810.72	4.399999968				
CHEMBL481657	CC1(C)Oc2cc3oc(=O)ccc3cc2C[C@@H]1O	IC50	=	nM	39810.72	4.399999968				
CHEMBL544669	CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.Cl	IC50	=	nM	39700	4.401209493	HCl			
CHEMBL24844	COc1ccc(-c2cc3c(c(=O)o2)C(=O)C2[C@@]4(C)CC[C@H](O)[C@@](C)(CO)C4C[C@H](O)[C@@]2(C)O3)cc1OC	IC50	=	nM	39630	4.401975928				
CHEMBL140403	C=CCCC[N+](C)(C)C	IC50	=	nM	39500	4.403402904				
CHEMBL136145	C[N+](C)(C)CCS	IC50	=	nM	39440	4.404063094				
CHEMBL139908	CCCC(=O)SCC[N+](C)(C)C	IC50	=	nM	39400	4.404503778				
CHEMBL21	Nc1ccc(S(N)(=O)=O)cc1	IC50	=	nM	39400	4.404503778				
CHEMBL592856	COP1(=O)CCCC(CO)=C(C)O1	IC50	=	nM	39200	4.406713933				
CHEMBL4129147	CC(C)=CCC1=C2O[C@H](C(C)(C)O)C[C@@]23C[C@H](CC=C(C)C)[C@@](C)(CCC(=O)C(C)C)[C@@](C(=O)C(C)C)(C1=O)C3=O	IC50	=	nM	39000	4.408935393				
CHEMBL3339007	CCCCN(CCCC)CCCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1	IC50	=	nM	39000	4.408935393				
CHEMBL592857	COC(=O)C1=C(C)OP(=O)(OC)CC1	Ki	=	nM	38700	4.412289035				
CHEMBL4284764	NC(=O)c1cc[n+](CCCC[n+]2ccc(/C=N/O)c(Cl)c2)cc1.[Br-].[Br-]	Ki	=	nM	38700	4.412289035	Br-	Br-		
CHEMBL3234586	CN(CCCNc1c2c(nc3ccccc13)CCCC2)Cc1ccnc(/C(N)=N/O)c1O	Kd	=	nM	38600	4.413412695				
CHEMBL25149	C[C@]12CC[C@H](O)[C@@](C)(CO)C1C[C@H](O)[C@@]1(C)Oc3cc(-c4ccc(Cl)nc4)oc(=O)c3C(=O)C21	IC50	=	nM	38340	4.416347891				
CHEMBL3289929	CCOC(OCC)c1ccc(/C=C/C(=O)/C=C/c2ccc(C(OCC)OCC)cc2)cc1	IC50	=	nM	38300	4.416801226				
CHEMBL3289943	CN(C)c1ccc(/C=C/C(=O)C2CCc3ccccc3C2=O)cc1	IC50	=	nM	38200	4.417936637				
CHEMBL4782574	COc1ccc(C(=O)N2CCN(CC(=O)N3CCN(CCCc4c[nH]c5ccccc45)CC3)CC2)cc1	IC50	=	nM	38000	4.420216403				
CHEMBL4790454	O=C(CN1CCN(C(=O)c2ccccc2F)CC1)N1CCN(CCCc2c[nH]c3ccccc23)CC1	IC50	=	nM	38000	4.420216403				
CHEMBL149230	CCC(OC[n+]1ccn(C)c1/C=N/O)C(C)(C)C.[Cl-]	IC50	=	nM	38000	4.420216403	Cl-			
CHEMBL65891	CCN(CC)CCS/C(=N\O)c1nc(C(C)(C)C)no1	IC50	=	nM	37300	4.428291168				
CHEMBL4465544	COc1ccc(C2=NN(C(C)=O)C(c3ccc(N4CCN(Cc5ccccc5)CC4)cc3)C2)cc1OC	IC50	=	nM	37300	4.428291168				
CHEMBL4576193	COc1ccc(C2=NN(C(C)=O)C(c3ccc(N4CCC(Cc5ccccc5)CC4)cc3)C2)cc1OC	IC50	=	nM	37200	4.42945706				
CHEMBL4448071	COc1ccc(C2=NN(C(C)=O)C(c3ccc(-n4cnc5ccccc54)cc3)C2)cc1OC	IC50	=	nM	37200	4.42945706				
CHEMBL4475612	COc1ccc(C2=NN(C(C)=O)C(c3ccc(N4CCN(Cc5ccccc5)CC4)cc3)C2)cc1	IC50	=	nM	37140	4.430158101				
CHEMBL590031	CO[P@@]1(=O)CC[C@H]2COC(=O)C2=C(C)O1	Ki	=	nM	37100	4.43062609				
CHEMBL4560804	C/C(=C/CC[C@H](CO)c1cc2cc(O)c(O)cc2o1)CO	IC50	=	nM	37000	4.431798276				
CHEMBL4780172	CN1C[C@@H](c2ccc(Cl)cc2Cl)[C@@]2(CSc3ccccc3C2=O)C12C(=O)c1ccccc1C2=O	IC50	=	nM	37000	4.431798276				
CHEMBL4168299	CO[C@H]1O[C@@](C)(c2nccc3cc4c(cc23)OCO4)c2ccc3c(c21)OCO3	IC50	=	nM	37000	4.431798276				
CHEMBL4068829	COc1ccc(CN(CC(=O)NC(C)C)C(=O)CCCCCn2cc[n+](C)c2/C=N\O)cc1.[I-]	Kd	=	nM	36800	4.434152181	I-			
CHEMBL4059560	COc1ccc(CN(CC(=O)NCc2ccccc2)C(=O)CCCCCn2cc[n+](C)c2/C=N\O)cc1.[I-]	Kd	=	nM	36500	4.437707136	I-			
CHEMBL4168617	O=C(O)C(F)(F)F.O=C1CC[C@@]2(C=CNC3=C2C2=NCCc4c[nH]c(c42)C3=O)C=C1Br	IC50	=	nM	36000	4.443697499	OC(=O)C(F)(F)F			
CHEMBL4069472	Cc1ccc(-c2c3ccccc3[n+](C)c3ccccc23)cc1.F[B-](F)(F)F	IC50	=	nM	36000	4.443697499	F[B-](F)(F)F			
CHEMBL393417	COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc4c(c3O[C@@H]1CO2)C=CC(C)(C)O4	IC50	=	nM	36000	4.443697499				
